basis,beta,set,rate,has_gen,gpu_best,npu_best,agree
raw,0.5,S2,1.0,0,"all-accel","all-accel",1
raw,0.5,S2,2.0,0,"all-accel","all-accel",1
raw,0.5,S2,3.0,0,"all-accel","all-accel",1
raw,0.5,S3,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S3,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S3,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S4,1.0,1,"all-accel","cpu:resnet50",0
raw,0.5,S4,2.0,1,"all-accel","all-accel",1
raw,0.5,S4,3.0,1,"all-accel","all-accel",1
raw,0.5,S5,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S5,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S5,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S6,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S6,1.5,1,"all-accel","cpu:llama1b",0
raw,0.5,S6,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S7,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S7,1.5,1,"all-accel","cpu:llama1b",0
raw,0.5,S7,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,S8,1.0,1,"all-accel","all-accel",1
raw,0.5,S8,1.5,1,"all-accel","cpu:llama1b+yolo11l",0
raw,0.5,S8,2.0,1,"all-accel","cpu:llama1b+yolo11l",0
raw,0.5,S9,1.0,0,"all-accel","all-accel",1
raw,0.5,S9,2.0,0,"all-accel","all-accel",1
raw,0.5,S9,3.0,0,"all-accel","all-accel",1
raw,0.5,base1,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base1,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base1,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base2,1.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base2,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base2,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base3,1.0,1,"all-accel","cpu:resnet50",0
raw,0.5,base3,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base3,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base4,1.0,1,"all-accel","cpu:resnet50",0
raw,0.5,base4,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base4,3.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base5,1.0,1,"all-accel","cpu:resnet50",0
raw,0.5,base5,2.0,1,"all-accel","cpu:llama1b",0
raw,0.5,base5,3.0,1,"all-accel","cpu:llama1b",0
declared_normalized,1.0,S1,2.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S1,3.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S1,4.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S10,1.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S10,1.5,0,"all-accel","all-accel",1
declared_normalized,1.0,S10,2.0,0,"cpu:mobilenet_v2","all-accel",0
declared_normalized,1.0,S2,1.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S2,2.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S2,3.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S3,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S3,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S3,3.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S4,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S4,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S4,3.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S5,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S5,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S5,3.0,1,"all-accel","cpu:mobilenet_v2",0
declared_normalized,1.0,S6,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S6,1.5,1,"all-accel","all-accel",1
declared_normalized,1.0,S6,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S7,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S7,1.5,1,"all-accel","all-accel",1
declared_normalized,1.0,S7,2.0,1,"cpu:mobilenet_v2","all-accel",0
declared_normalized,1.0,S8,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,S8,1.5,1,"all-accel","all-accel",1
declared_normalized,1.0,S8,2.0,1,"cpu:yolo11x","cpu:resnet50",0
declared_normalized,1.0,S9,1.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S9,2.0,0,"all-accel","all-accel",1
declared_normalized,1.0,S9,3.0,0,"all-accel","all-accel",1
declared_normalized,1.0,base1,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base1,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base1,3.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base2,1.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base2,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base2,3.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base3,1.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base3,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base3,3.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base4,1.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base4,2.0,1,"all-accel","all-accel",1
declared_normalized,1.0,base4,3.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base5,1.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base5,2.0,1,"all-accel","cpu:resnet50",0
declared_normalized,1.0,base5,3.0,1,"all-accel","cpu:resnet50",0
declared_normalized,0.5,S1,2.0,0,"all-accel","all-accel",1
declared_normalized,0.5,S1,3.0,0,"all-accel","all-accel",1
declared_normalized,0.5,S1,4.0,0,"all-accel","all-accel",1
declared_normalized,0.5,S10,1.0,0,"all-accel","all-accel",1
declared_normalized,0.5,S10,1.5,0,"all-accel","all-accel",1
declared_normalized,0.5,S10,2.0,0,"cpu:mobilenet_v2","all-accel",0
declared_normalized,0.5,S2,1.0,0,"all-accel","all-accel",1
declared_normalized,0.5,S2,2.0,0,"all-accel","all-accel",1
